Year,Month,Cases,Rain,minT,maxT,VCAP
1996,Apr,102,7.6,10.7,24,618.7584981
1996,May,175,6.7,11.5,23.7,480.1155841
1996,Jun,120,2.4,12,22.3,265.9570579
1996,Jul,110,8.9,11,22.4,1791.791465
1996,Aug,70,5.6,11,23.2,433.468803
1996,Sep,45,5.6,10.9,23.9,241.5623275
1996,Oct,30,7.8,10.6,24.3,746.2233036
1996,Nov,25,6,11,23.6,1281.957421
1996,Dec,28,2.4,11.4,24.6,306.0964964
1997,Jan,36,1.5,10.4,25.8,29.13342899
1997,Feb,60,0,9.1,28.3,0
1997,Mar,48,2.1,10.9,28.7,281.2721247
1997,Apr,35,10.4,12.2,23.5,1398.058069
1997,May,68,2.4,10.6,23.6,148.6749782
1997,Jun,300,4.5,11.1,23.6,246.8804256
1997,Jul,110,5.9,11.3,22.7,600.0500744
1997,Aug,55,3.4,10.9,23.9,238.7270211
1997,Sep,35,1.3,9.1,26.8,35.45438484
1997,Oct,35,6.7,11.2,24.4,947.1174121
1997,Nov,55,13,12,22.5,1461.319369
1997,Dec,175,7.1,12.3,22.9,1295.914731
1998,Jan,415,10.5,12.4,NA,8841.024183
1998,Feb,695,4.1,12.1,NA,1163.871084
1998,Mar,410,2,12.1,27.6,528.0884831
1998,Apr,130,8.5,13.2,25.6,3287.68095
1998,May,155,8.4,13.3,24.2,2407.255342
1998,Jun,160,6.6,11.2,23.4,382.5106776
1998,Jul,170,6.6,11.6,22.7,723.7728869
1998,Aug,210,5.4,11.7,23.7,699.9768385
1998,Sep,130,4.9,11.2,24.3,228.9866275
1998,Oct,170,10.5,11.6,24,1870.469052
1998,Nov,180,3.7,11.1,24,262.6637473
1998,Dec,145,0.6,9.9,25.8,6.039659641
1999,Jan,245,4.5,10.2,25.6,490.1113014
1999,Feb,200,1.1,10.6,28,40.57779001
1999,Mar,200,9.6,12,24.4,2330.785809
1999,Apr,100,7.3,10.5,24.1,462.8902856
1999,May,370,8.4,10.7,23.4,857.4779926
1999,Jun,370,4,10,23.6,190.5107687
1999,Jul,530,3.3,10.3,22.4,59.98922196
1999,Aug,120,5.6,10.9,22.9,306.9838761
1999,Sep,95,5.1,10.5,24,370.6773438
1999,Oct,110,6.9,11.1,23.4,294.7962169
1999,Nov,110,2.8,11.1,24,169.5490035
1999,Dec,120,2.2,10.2,24.1,187.1880103
2000,Jan,140,2,9.9,26.5,323.9042742
2000,Feb,170,1.2,9.4,27.7,108.3923704
2000,Mar,200,3.1,10.8,26.8,372.00485
2000,Apr,115,5.6,11.6,25.1,673.6647795
2000,May,160,7.1,11.3,24.1,436.0263301
2000,Jun,180,5.9,11.3,23.4,444.0124762
2000,Jul,150,5.1,11.8,22.7,351.3948226
2000,Aug,95,5.9,10.8,23.1,317.6906479
2000,Sep,110,5.6,10.9,24.4,1217.816057
2000,Oct,100,5,10.6,24,385.3604602
2000,Nov,105,6,11.2,23.8,1054.341187
2000,Dec,90,6.5,11.1,24.1,2032.506317
2001,Jan,265,14.4,11.9,23,6799.96257
2001,Feb,235,2.8,10.2,26.1,377.5969623
2001,Mar,225,4.3,10.8,25.6,743.1141156
2001,Apr,105,7.9,11.6,23.9,1423.822847
